#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654    9.453461402   35.735373269
   -3.018392942   13.995793740   37.371755894
   -2.895193230   18.524840203   35.603281497
   -2.771993518   22.658402024   31.098332482
   -2.648793806   26.111625365   24.703339012
   -2.525594094   28.717546598   17.539058700
   -2.402394382   30.449956857   10.665447867
   -2.279194670   31.392511639    4.767575801
   -2.155994958   31.678306811    0.008109968
   -2.032795246   31.441571956   -3.745207388
   -1.909595535   30.802196101   -6.510558546
   -1.786395823   29.890526195   -8.071687250
   -1.663196111   28.874124285   -8.226397335
   -1.539996399   27.931093065   -6.888775658
   -1.416796687   27.228538014   -4.360641694
   -1.293596975   26.884748444   -1.148379609
   -1.170397263   26.953148644    2.248442670
   -1.047197551   27.425754197    5.326875024
   -0.923997839   28.230783079    7.557700663
   -0.800798127   29.234661808    8.502017721
   -0.677598415   30.267666181    8.050008206
   -0.554398704   31.174045907    6.536479981
   -0.431198992   31.859420657    4.574538606
   -0.307999280   32.306413515    2.737090819
   -0.184799568   32.549620201    1.272690948
   -0.061599856   32.633354764    0.110799548
    0.061599856   32.574598099   -1.110431034
    0.184799568   32.337546464   -2.866462849
    0.307999280   31.826834823   -5.626572000
    0.431198992   30.900781191   -9.628072010
    0.554398704   29.411634705  -14.672246761
    0.677598415   27.272586136  -20.000848362
    0.800798127   24.523723571  -24.324374319
    0.923997839   21.379595667  -26.194359858
    1.047197551   18.211315676  -24.619415673
    1.170397263   15.453415773  -19.648416071
    1.293596975   13.455629225  -12.591322901
    1.416796687   12.345550586   -5.616521881
    1.539996399   11.978161509   -0.838949123
    1.663196111   11.995578520    0.509042517
    1.786395823   11.957262255   -1.658249967
    1.909595535   11.476203460   -6.484315560
    2.032795246   10.307185207  -12.566744487
    2.155994958    8.399438185  -18.162008103
    2.279194670    5.932816159  -21.322887928
    2.402394382    3.320773676  -20.292696391
    2.525594094    1.144116823  -14.221925497
    2.648793806    0.000000000   -3.809738600
    2.771993518    0.302641668    8.827275759
    2.895193230    2.156134384   20.922420354
    3.018392942    5.345564638   30.250735650
