#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654    7.293869505   32.351951666
   -3.018392942   11.642033783   37.800398988
   -2.895193230   16.495026606   40.392940605
   -2.771993518   21.445072349   39.277111003
   -2.648793806   26.005339906   34.057892387
   -2.525594094   29.696448364   25.350176610
   -2.402394382   32.163551075   14.414797456
   -2.279194670   33.218563103    2.586865863
   -2.155994958   32.810551930   -9.197992486
   -2.032795246   30.988058301  -20.256049143
   -1.909595535   27.895106278  -29.619328243
   -1.786395823   23.825202367  -35.785500865
   -1.663196111   19.282954495  -37.059392598
   -1.539996399   14.961167181  -32.052305991
   -1.416796687   11.656775248  -20.609955140
   -1.293596975   10.088265592   -4.252021063
   -1.170397263   10.684122600   13.886743108
   -1.047197551   13.417594382   29.770607523
   -0.923997839   17.774590973   39.753924444
   -0.800798127   22.894088088   42.064013654
   -0.677598415   27.853217732   37.484467143
   -0.554398704   31.960094903   28.777478137
   -0.431198992   34.909649745   19.204771929
   -0.307999280   36.755374615   11.100276425
   -0.184799568   37.743792781    5.301886068
   -0.061599856   38.143829652    1.405516630
    0.061599856   38.127994209   -1.638182579
    0.184799568   37.732701979   -4.962882284
    0.307999280   36.865660860   -9.387820068
    0.431198992   35.363210727  -15.292180548
    0.554398704   33.051452548  -22.375594741
    0.677598415   29.838155489  -29.710172325
    0.800798127   25.781751249  -35.772879758
    0.923997839   21.147170222  -38.816955377
    1.047197551   16.398378281  -37.458566521
    1.170397263   12.113286711  -31.348772251
    1.293596975    8.822692571  -21.632479922
    1.416796687    6.828581486  -10.771805676
    1.539996399    6.095391866   -1.610682362
    1.663196111    6.273185564    3.763781547
    1.786395823    6.835317937    4.644743778
    1.909595535    7.255960475    1.650417436
    2.032795246    7.140020979   -3.790754936
    2.155994958    6.297227152   -9.831308366
    2.279194670    4.779218923  -14.415349609
    2.402394382    2.887699541  -15.633986853
    2.525594094    1.115864462  -12.381755189
    2.648793806    0.013119173   -4.988068138
    2.771993518    0.000000000    4.962889057
    2.895193230    1.261490585   15.388356786
    3.018392942    3.752547396   24.760146831
